Screen Name,Follower Count,Total Tweets,Type
CaragineCrystal,0,0,Layman
JPRubenzahl,35,403,Layman
Sarah_Brierley1,123,0,Expert
liushiyu1223,14,0,Layman
jon_breece,5,1,Layman
SofiaMFred,46,2,Layman
haoran_zhang96,75,210,Layman
SteveRogersinfo,414,733,Expert
iworld1991,256,906,Expert
Tommyindahouseo,4,0,Layman
Oskarryden,1130,24445,Celebrity
fernandes_becky,298,4174,Expert
JadidAmaf,48,1363,Layman
qisiangng,200,686,Expert
STArthurFR,1380,422,Celebrity
QRoonjha,3741,18566,Celebrity
ChanKaMing15,76,54,Layman
LoyolaCJC,761,2503,Expert
MuradKanrani,175,1200,Expert
AlexCecylia,458,91,Expert
polarbear0627,303,480,Expert
MorganSetDesign,122,177,Expert
_lia_white_,3,0,Layman
TomasFJaramillo,65,1664,Layman
michaelcurtin15,826,3829,Expert
cespinosa10,254,1237,Expert
jayrobw,147,129,Expert
ansarjaferi,63,110,Layman
RyanFedasiuk,566,2092,Expert
theoyakah,120,10,Expert
surilisheth,507,1359,Expert
josemaru718,545,8957,Expert
MuhammadOwais17,270,66,Expert
Young_Poboy,283,2685,Expert
gbbelarmino,0,0,Layman
ctburks,597,88,Expert
AjayVerghese,2575,5218,Celebrity
NadiyaKostyuk,321,251,Expert
EverdingGerry,9,1,Layman
gzdmrl,53,176,Layman
alexburns,1463,9287,Celebrity
TiwadeUttam,209,224,Expert
byron_powell,1900,718,Celebrity
tay_damann,38,35,Layman
mikeseese,137,0,Expert
docambler,270,452,Expert
20007339,3,7,Layman
WashURec,565,847,Expert
RoiZur,303,312,Expert
SEMcMillin,433,2721,Expert
RyanRapsRight,9,8,Layman
LuciaMotoliniaC,573,5835,Expert
DonWill35436867,169,48,Expert
YuanYuan_Hsu,31,196,Layman
dhmarkel,802,13902,Expert
Jacob_Montg,335,371,Expert
AbdussamadAhma1,190,411,Expert
Intel_101,311,407,Expert
ijaz_haq93,171,3248,Expert
BDesco,500,10067,Expert
bkettenring,919,3116,Expert
WhitsonMark,6,39,Layman
LesterSpence,9870,14433,Celebrity
saif_0557,114,601,Expert
AJKnuppe,605,1428,Expert
adeslatte,5206,16731,Celebrity
wnomikos,847,2936,Expert
quimarta_s,56,226,Layman
benjaminrieth,166,1724,Expert
Iva_Mihaylova,99,80,Layman
PoliSciConf,242,55,Expert
WUSTL_Summer,115,191,Expert
villageartist,135,230,Expert
libbydowdall,306,1259,Expert
AdriBoersner,709,1138,Expert
domingosamanda4,71,145,Layman
Stephenrenda,17,0,Layman
OkafoOgochukwu,233,12,Expert
BBoundariesWU,138,168,Expert
TashiTewa,1377,10459,Celebrity
nicolekdan,457,7067,Expert
lisa_nieth,367,374,Expert
PlazaColodro,580,1077,Expert
DavidPoe223,206,689,Expert
sdabreu,185,2306,Expert
AncienBenlloch,311,2594,Expert
poetword,159,2391,Expert
meirajmm,126,140,Expert
christiankscott,142,916,Expert
mrsultan713,1011,1520,Celebrity
KyleECronin,126,1172,Expert
N_Damschke,240,214,Expert
SocialPerforma2,869,2754,Expert
Petergehy,17,7,Layman
XuanLI_1994,16,10,Layman
hamchicago,87,610,Layman
shirley980604,33,142,Layman
anishnabenow,887,4471,Expert
aidaan96,305,210,Expert
CarlyNWayne,1132,831,Celebrity
maajlan,481,30727,Expert
DBS110,451,4053,Expert
fejesmg,352,1500,Expert
thomaserandall,386,918,Expert
STLblogera,964,15472,Expert
SheenaGreitens,7713,5013,Celebrity
anna_getmansky,1041,520,Celebrity
ka_99k,40,972,Layman
simonrcotton,517,291,Expert
WashUAlumni,2576,4625,Celebrity
menchant_liu,4,26,Layman
RiskMBA,644,1549,Expert
ElleFreeMO,105,517,Expert
JenSmithWashU,346,431,Expert
arcruz0,191,204,Expert
liulch16,7,30,Layman
WashUChancellor,3413,4081,Celebrity
WUSTLTTC,531,1388,Expert
_AMReilly,246,1363,Expert
so_proksch,749,83,Expert
joan_barcelo_,359,67,Expert
blfraga,2626,2871,Celebrity
weil_ethan,6,56,Layman
J0eSutherland,279,44,Expert
tntreat66,16,97,Layman
mauvela,87,306,Layman
eicoz,379,1886,Expert
cesicruz,3122,1884,Celebrity
ianRturner,1244,895,Celebrity
_NingHe,57,38,Layman
nielshappeldorn,67,2,Layman
DanBischof,1991,3902,Celebrity
MadCoEconDev,151,245,Expert
FundedMission,448,2687,Expert
WASHU_BNVB,76,69,Layman
GSSwustl,53,58,Layman
efeduenas,365,2379,Expert
jeonghkim1,120,41,Expert
shirokuriwaki,915,210,Expert
dianazobrien,1945,374,Celebrity
HansardScholars,268,788,Expert
ReubenSiegman,179,1589,Expert
AshLee_M_Smith,493,380,Expert
cd_lucas,2381,565,Celebrity
RobertCantelmo,469,1360,Expert
aleranda,40,628,Layman
SPSAwomen,1262,2924,Celebrity
johnadearborn,1718,3459,Celebrity
LZZpoli_sci,0,0,Layman
NJBrdicko,6,1,Layman
luisrivero,552,5604,Expert
Jhon_neu,66,0,Layman
YouthMarchCO,88,40,Layman
soccerquant,12393,9484,Celebrity
riley_judd,320,770,Expert
JonathanMishory,615,9668,Expert
BeirutMugharid,83,4612,Layman
NickMormino1,12,6,Layman
MillbrookPharm,403,1789,Expert
UTRGVPOLS,218,130,Expert
WashULRev,278,174,Expert
RMM038,240,259,Expert
elizabethaeddy,91,90,Layman
gebby1984,761,8313,Expert
mhseo88,125,10,Expert
Julie_Flory,1307,8209,Celebrity
klier_teresa,0,0,Layman
SamKleinOnline,142,2222,Expert
ciudadana_erika,665,7330,Expert
WUSTL_InfoSec,34,117,Layman
C_Wolbrecht,13373,16658,Celebrity
_faisalkamal,398,738,Expert
ScottFAbramson,398,201,Expert
WashUAdmissions,786,1060,Expert
BrendanNyhan,73128,77721,Celebrity
ConnorMEwing,1195,1309,Celebrity
michael_p_olson,372,2921,Expert
psuareziskihata,223,1153,Expert
aaronjgold2,272,143,Expert
sengulyldz,180,747,Expert
dalston_gawain,84,588,Layman
MattC15,187,2932,Expert
JasonWRoland,1289,8429,Celebrity
Stratton_Jill,925,1750,Expert
srmonteirojr,513,4536,Expert
ben_fifield,563,124,Expert
NewEnglandPSA,991,1124,Expert
hedwig_lee,2603,8132,Celebrity
wufrank200,102,312,Expert
LLingo_admin,26,1,Layman
PatrickRickert,163,1083,Expert
BMcCSJ,958,3542,Expert
nocmgr,149,940,Expert
WashUWellness,79,67,Layman
JM_Sievert,2141,9672,Celebrity
cmhinderliter,2715,15516,Celebrity
STLRegChamber,13837,8410,Celebrity
faze_uso,1,31,Layman
SKappHastings,13,6,Layman
azwolk,227,1242,Expert
BetulD_,52,8,Layman
JulioTellez,1209,7365,Celebrity
AdmissionDeanWU,302,474,Expert
eiri75,38,2107,Layman
LilyJake11,77,284,Layman
WashUGHW,83,53,Layman
CaitlynMCollins,3289,3016,Celebrity
AmanPatil17,42,38,Layman
ITAPCWE,3563,1631,Celebrity
StLouisMOBiz,174,6,Expert
WUSTLcareers,3782,2275,Celebrity
sumpunta,402,7991,Expert
Peacock1,480,2613,Expert
wasserjo,37,47,Layman
JacekBursztyn,402,28001,Expert
parallelchords,350,277,Expert
StineDeborah,37,65,Layman
wustlsoc,235,405,Expert
pjfj4,12,337,Layman
WUSTLKat,31,65,Layman
ProfKrassa,85,954,Layman
matthewhitt,1688,1582,Celebrity
jbshore14,344,4102,Expert
JonasMarkgraf,268,164,Expert
washu_su,1840,1390,Celebrity
din_inter,728,1254,Expert
noa_yadidi,324,901,Expert
lexojackso,761,19408,Expert
zvincent9,175,271,Expert
tunderia,8,26,Layman
WASHUwSoccer,631,601,Expert
xhonorarywustl,24,65,Layman
ProfDeadwood,1,1,Layman
chad_schwam,10,0,Layman
BarStLouisMo,3032,3485,Celebrity
FozziesSandwich,1210,1289,Celebrity
wustlsts,472,551,Expert
JacobLevitan,9,6,Layman
wuNetArchitect,57,86,Layman
myrablopez,518,1575,Expert
JaredDauman,10,0,Layman
PoliticsUVA,2068,2248,Celebrity
gregjwhitfield,242,924,Expert
keeporthestars,196,2169,Expert
sherenpen,22,8,Layman
moritzmarbach,406,9,Expert
mm_bechtel,270,63,Expert
OpticalRadLab,205,234,Expert
KongXiangchuan,3,1,Layman
KCannon_777,419,414,Expert
carry_my_lyn,5,3,Layman
WashUengineers,4912,7351,Celebrity
WISHHousing,755,3720,Expert
J_LawPolitics,415,380,Expert
jmtheology,214,1450,Expert
EHSgifted,152,294,Expert
TMNTBackpackKid,8,1,Layman
matt_devoll,195,654,Expert
yk344_kwon,595,4504,Expert
kevinlevart,303,356,Expert
INCEESWUSTL,418,2533,Expert
fullstoppberlin,745,860,Expert
mrjoefrank,1162,1505,Celebrity
red_zephrin,41,213,Layman
PSANational,1369,1445,Celebrity
generallybryn,414,2452,Expert
DdfaKdoaoer,12,6,Layman
WUSTLGephardt,1228,1507,Celebrity
debbiemurphy,625,582,Expert
Fourboysmama,42,124,Layman
WomensSocietyWU,123,32,Expert
picook,200,209,Expert
washu4hillary,1756,71,Celebrity
wuestpr,58,7,Layman
IdkImJustBored,522,103292,Expert
AmyHC,432,1091,Expert
rlcalv,55,57,Layman
justinfoxstl,64,0,Layman
HarrisWorldLaw,250,359,Expert
BrookingsRC,37,24,Layman
PeterColumCasey,131,766,Expert
WashULaw,2182,7261,Celebrity
PoliSciUMN,1757,8801,Celebrity
StLouisPILaw,2411,5505,Celebrity
CatholicLuisa,218,2740,Expert
hyebell94,78,2,Layman
mirandayaver,12832,66169,Celebrity
WUSTLAnthro,595,936,Expert
ProfJRoberts,1456,4010,Celebrity
mavrknetworking,33,16,Layman
CoffeeCartelSTL,1455,2865,Celebrity
Steph_Budrus,275,3262,Expert
politconsultant,230,563,Expert
PSA_APG,1133,516,Celebrity
RiaHan94,56,196,Layman
wustlisp,1370,3185,Celebrity
WashUsummer,514,769,Expert
WashUOUTLaw,204,214,Expert
OlinWCC,1074,1532,Celebrity
GayleGeren,744,6568,Expert
Scotty_Jacobs,102,90,Expert
prof_nokken,626,9118,Expert
WUSTL_CIO,388,794,Expert
the_noblest,75,54,Layman
sandersems,55,230,Layman
DaniellePaige35,12,15,Layman
ErinAAmato,85,347,Layman
blumkmasterflex,257,3256,Expert
setuhro,0,6,Layman
SarahO_333,6,18,Layman
OlinCaseComp,5,5,Layman
CtrRelPol,1929,2465,Celebrity
FrankMCorona,59,694,Layman
keridugan1,31,105,Layman
RelayForLifeWU,583,583,Expert
AEConnolly41,26,276,Layman
WUSTLDIFFS,22,17,Layman
stephen_huber,286,2465,Expert
JohnCluverius,1757,8629,Celebrity
WUFYC,970,1388,Expert
Schmiedette,31,269,Layman
ChancellorW,2262,932,Celebrity
washudems,306,66,Expert
cynhudson,569,1144,Expert
jeremycaddel,62,79,Layman
SamFoxSchool,2351,9808,Celebrity
ScholarBridge,242,526,Expert
WUSTLoiss,843,770,Expert
WUCS40,185,77,Expert
pol_economist,412,785,Expert
WUSTLlibraries,1775,4026,Celebrity
ma_me_ga,906,8416,Expert
binici,23,5,Layman
WUSTLEconAC,132,639,Expert
WU_DAC,156,39,Expert
SJGivensSTL,595,952,Expert
RasitYT,19,1058,Layman
avascenturians,157,225,Expert
keithschnak,1259,5766,Celebrity
Adrienne_WU,3222,1728,Celebrity
OlinBSBA,417,613,Expert
WUSTL,32774,10361,Celebrity
jwpatty,3186,321,Celebrity
ClarissaHayward,881,6797,Expert
wupad,545,612,Expert
AMCS_WU,467,750,Expert
WashUTimmy,75,35,Layman
DOTwustl,53,16,Layman
WASHUCheer,112,21,Expert
kennethsng,48,3,Layman
prof_aburibe,7,23,Layman
WashU_Habif,441,939,Expert
slso,37302,9789,Celebrity
WUSTLDC,62,198,Layman
deepfriar,332,22236,Expert
mjnelson7,603,1494,Expert
Jktboston,172,118,Expert
OutPerformPeers,354,2156,Expert
ajreeves,1382,148,Celebrity
ironflamingo1,3,2,Layman
Coolicolo,176,1382,Expert
WUSTLArtSci,2467,7545,Celebrity
caseycrawforddd,171,3003,Expert
BellevilleMovee,19964,118,Celebrity
WUSTLpubhealth,2050,4982,Celebrity
JonathanRapkin,4,61,Layman
ProfStevenSmith,2684,38,Celebrity
j_homola,222,61,Expert
emagar,2249,5538,Celebrity
alucardi1,1125,14705,Celebrity
000fukumoto,1952,3368,Celebrity
WUSTLSIS,831,1840,Expert
